Time,Count
2017-01-30,0
2017-01-31,2
2017-02-01,4
2017-02-02,2
2017-02-03,2
2017-02-04,1
2017-02-05,4
2017-02-06,2
2017-02-07,13
2017-02-08,7
2017-02-09,19
2017-02-10,1
2017-02-11,2
2017-02-12,3
2017-02-13,1
2017-02-14,2
2017-02-15,1
2017-02-16,2
2017-02-17,1
2017-02-18,12
2017-02-19,2
2017-02-20,1
2017-02-21,1
2017-02-22,2
2017-02-23,1
2017-02-24,2
2017-02-25,2
2017-02-26,1
2017-02-27,2
2017-02-28,2
2017-03-01,1
2017-03-02,2
2017-03-03,1
2017-03-04,0
2017-03-05,3
2017-03-06,0
2017-03-07,1
2017-03-08,1
2017-03-09,0
2017-03-10,1
2017-03-11,3
2017-03-12,2
2017-03-13,1
2017-03-14,1
2017-03-15,1
2017-03-16,12
2017-03-17,5
2017-03-18,1
2017-03-19,0
2017-03-20,0
2017-03-21,2
2017-03-22,9
2017-03-23,4
2017-03-24,8
2017-03-25,1
2017-03-26,4
2017-03-27,6
2017-03-28,1
2017-03-29,2
2017-03-30,2
2017-03-31,3
2017-04-01,4
2017-04-02,5
2017-04-03,8
2017-04-04,0
2017-04-05,3
2017-04-06,2
2017-04-07,0
2017-04-08,4
2017-04-09,0
2017-04-10,1
2017-04-11,5
2017-04-12,0
2017-04-13,0
2017-04-14,3
2017-04-15,6
2017-04-16,3
2017-04-17,0
2017-04-18,1
2017-04-19,3
2017-04-20,4
2017-04-21,1
2017-04-22,2
2017-04-23,1
2017-04-24,11
2017-04-25,8
2017-04-26,3
2017-04-27,2
2017-04-28,3
2017-04-29,3
2017-04-30,2
2017-05-01,0
2017-05-02,1
2017-05-03,4
2017-05-04,1
2017-05-05,54
2017-05-06,39
2017-05-07,32
2017-05-08,37
2017-05-09,18
2017-05-10,10
2017-05-11,11
2017-05-12,1
2017-05-13,1
2017-05-14,2
2017-05-15,7
2017-05-16,9
2017-05-17,7
2017-05-18,12
2017-05-19,5
2017-05-20,2
2017-05-21,0
2017-05-22,9
2017-05-23,1
2017-05-24,2
2017-05-25,2
2017-05-26,3
2017-05-27,2
2017-05-28,3
2017-05-29,1
2017-05-30,4
2017-05-31,3
2017-06-01,0
2017-06-02,8
2017-06-03,4
2017-06-04,0
2017-06-05,4
2017-06-06,10
2017-06-07,5
2017-06-08,3
2017-06-09,0
2017-06-10,1
2017-06-11,0
2017-06-12,2
2017-06-13,2
2017-06-14,2
2017-06-15,0
2017-06-16,6
2017-06-17,0
2017-06-18,0
2017-06-19,3
2017-06-20,1
2017-06-21,4
2017-06-22,3
2017-06-23,4
2017-06-24,2
2017-06-25,2
2017-06-26,2
2017-06-27,1
2017-06-28,3
2017-06-29,1
2017-06-30,3
2017-07-01,3
2017-07-02,1
2017-07-03,2
2017-07-04,3
2017-07-05,1
2017-07-06,4
2017-07-07,4
2017-07-08,0
2017-07-09,5
2017-07-10,0
2017-07-11,9
2017-07-12,7
2017-07-13,4
2017-07-14,5
2017-07-15,0
2017-07-16,5
2017-07-17,1
2017-07-18,0
2017-07-19,4
2017-07-20,3
2017-07-21,3
2017-07-22,1
2017-07-23,0
2017-07-24,5
2017-07-25,12
2017-07-26,9
2017-07-27,6
2017-07-28,1
2017-07-29,0
2017-07-30,0
2017-07-31,2
2017-08-01,1
2017-08-02,1
2017-08-03,2
2017-08-04,0
2017-08-05,3
2017-08-06,6
2017-08-07,1
2017-08-08,2
2017-08-09,2
2017-08-10,4
2017-08-11,3
2017-08-12,0
2017-08-13,1
2017-08-14,1
2017-08-15,0
2017-08-16,2
2017-08-17,0
2017-08-18,0
2017-08-19,1
2017-08-20,0
2017-08-21,0
2017-08-22,1
2017-08-23,2
2017-08-24,0
2017-08-25,1
2017-08-26,0
2017-08-27,2
2017-08-28,0
2017-08-29,0
2017-08-30,0
2017-08-31,1
2017-09-01,2
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,3
2017-09-06,1
2017-09-07,2
2017-09-08,3
2017-09-09,5
2017-09-10,0
2017-09-11,1
2017-09-12,1
2017-09-13,0
2017-09-14,2
2017-09-15,2
2017-09-16,0
2017-09-17,0
2017-09-18,2
2017-09-19,0
2017-09-20,0
2017-09-21,1
2017-09-22,0
2017-09-23,0
2017-09-24,1
2017-09-25,5
2017-09-26,1
2017-09-27,2
2017-09-28,3
2017-09-29,1
2017-09-30,2
2017-10-01,0
2017-10-02,1
2017-10-03,3
2017-10-04,2
2017-10-05,5
2017-10-06,0
2017-10-07,8
2017-10-08,7
2017-10-09,3
2017-10-10,3
2017-10-11,2
2017-10-12,1
2017-10-13,1
2017-10-14,2
2017-10-15,0
2017-10-16,0
2017-10-17,1
2017-10-18,3
2017-10-19,0
2017-10-20,1
2017-10-21,0
2017-10-22,0
2017-10-23,1
2017-10-24,1
2017-10-25,0
2017-10-26,2
2017-10-27,22
2017-10-28,4
2017-10-29,1
2017-10-30,2
2017-10-31,0
2017-11-01,0
2017-11-02,2
2017-11-03,1
2017-11-04,0
2017-11-05,2
2017-11-06,0
2017-11-07,0
2017-11-08,1
2017-11-09,0
2017-11-10,1
2017-11-11,3
2017-11-12,3
2017-11-13,0
2017-11-14,1
2017-11-15,1
2017-11-16,2
2017-11-17,2
2017-11-18,1
2017-11-19,0
2017-11-20,1
2017-11-21,0
2017-11-22,3
2017-11-23,4
2017-11-24,10
2017-11-25,5
2017-11-26,5
2017-11-27,1
2017-11-28,1
2017-11-29,1
2017-11-30,1
2017-12-01,4
2017-12-02,2
2017-12-03,1
2017-12-04,0
2017-12-05,4
2017-12-06,3
2017-12-07,0
2017-12-08,1
2017-12-09,2
2017-12-10,1
2017-12-11,0
2017-12-12,0
2017-12-13,2
2017-12-14,0
2017-12-15,2
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,1
2017-12-20,1
2017-12-21,0
2017-12-22,0
2017-12-23,2
2017-12-24,0
2017-12-25,0
2017-12-26,11
2017-12-27,9
2017-12-28,4
2017-12-29,2
2017-12-30,4
2017-12-31,1
2018-01-01,5
2018-01-02,6
2018-01-03,3
2018-01-04,4
2018-01-05,0
2018-01-06,1
2018-01-07,0
2018-01-08,1
2018-01-09,1
2018-01-10,1
2018-01-11,3
2018-01-12,2
2018-01-13,7
2018-01-14,3
2018-01-15,3
2018-01-16,6
2018-01-17,5
2018-01-18,2
2018-01-19,2
2018-01-20,2
2018-01-21,4
2018-01-22,1
2018-01-23,1
2018-01-24,1
